original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"___Status_Bar___Battery_Icon_10.svg","device_chrome","1768","357879fccb90b1bf4a962e838a398be5236a2e058261e59f8d13a1a2d27ba44d","false","___Status_Bar___Battery_Icon_10.svg","device_chrome__status_bar_battery_icon_10.svg"
"___Status_Bar___Battery_Icon_11.svg","device_chrome","1768","9b503210c75937cc71d27d8cb0683d51fed548ea06bd5fe009301e0e2b8e6024","false","___Status_Bar___Battery_Icon_11.svg","device_chrome__status_bar_battery_icon_11.svg"
"___Status_Bar___Battery_Icon_12.svg","device_chrome","1763","fd10a170b4f7af5d092aadf0d181ff51ff4e15e9513ab26fa5657561b7c57495","false","___Status_Bar___Battery_Icon_12.svg","device_chrome__status_bar_battery_icon_12.svg"
"___Status_Bar___Battery_Icon_13.svg","device_chrome","1763","ca2f64062a71b6239b75a9385f0c9622ed694b3a4882bf5e7bcdc41b6140855c","false","___Status_Bar___Battery_Icon_13.svg","device_chrome__status_bar_battery_icon_13.svg"
"___Status_Bar___Battery_Icon_14.svg","device_chrome","1763","78e1a1898bf153a65bc50064620b30b6a3383fbf6c0dc863a151f764ff495608","false","___Status_Bar___Battery_Icon_14.svg","device_chrome__status_bar_battery_icon_14.svg"
"___Status_Bar___Battery_Icon_15.svg","device_chrome","1763","be671cdc49796bd3d05537f8594bf26f291ea8388fbd26a7157ba7b67d2b7af2","false","___Status_Bar___Battery_Icon_15.svg","device_chrome__status_bar_battery_icon_15.svg"
"___Status_Bar___Battery_Icon_2.svg","device_chrome","1770","f1d54d963a4e5a1cdcc346cbef0462c41897a8c8b7efd17488003cdb432bee84","false","___Status_Bar___Battery_Icon_2.svg","device_chrome__status_bar_battery_icon_2.svg"
"___Status_Bar___Battery_Icon_3.svg","device_chrome","1770","aa4efdb1c70949f2d0cfa448c09c7d39be726d6c1b95573c7f431a365707a233","false","___Status_Bar___Battery_Icon_3.svg","device_chrome__status_bar_battery_icon_3.svg"
"___Status_Bar___Battery_Icon_4.svg","device_chrome","1770","a1b9a8ba2b50741dd7c9a470e832406ec262f79fa2ef193e54a4729e2f8fa2a0","false","___Status_Bar___Battery_Icon_4.svg","device_chrome__status_bar_battery_icon_4.svg"
"___Status_Bar___Battery_Icon_5.svg","device_chrome","1770","42a1e17aac096cfe1f0569f77f0142819480ce77e283ee9cafc78e2ad4cfa803","false","___Status_Bar___Battery_Icon_5.svg","device_chrome__status_bar_battery_icon_5.svg"
"___Status_Bar___Battery_Icon_6.svg","device_chrome","1763","aca17c9476250a5f44523fd0eaa59a69a39b1e84e0f6bea195786b0ef062d73e","false","___Status_Bar___Battery_Icon_6.svg","device_chrome__status_bar_battery_icon_6.svg"
"___Status_Bar___Battery_Icon_7.svg","device_chrome","1773","1b8285d341854985a9ffcf06b5ae85fd88e098563b0793fc7a0953070b0b0e29","false","___Status_Bar___Battery_Icon_7.svg","device_chrome__status_bar_battery_icon_7.svg"
"___Status_Bar___Battery_Icon_8.svg","device_chrome","1768","8f363fcb11e8ab53a43a105ae7ecef358feaa5d7cfdab6b062f8a81e8a7a261c","false","___Status_Bar___Battery_Icon_8.svg","device_chrome__status_bar_battery_icon_8.svg"
"___Status_Bar___Battery_Icon_9.svg","device_chrome","1773","02a01c3d2276615f4bc26384a2b26e864d3be1ee5d946ee116883adbfeaafcbd","false","___Status_Bar___Battery_Icon_9.svg","device_chrome__status_bar_battery_icon_9.svg"
"___Status_Bar___Battery_Icon.svg","device_chrome","1763","182128a320c016e50e7916bb7b13c74a2339a8d783275200d19feb7a432e2a10","false","___Status_Bar___Battery_Icon.svg","device_chrome__status_bar_battery_icon.svg"
"___Status_Bar___Cellular_Icon_10.svg","device_chrome","2496","553e3abf1a97e149ba720aa01f88414f04564280d9a03e3f6262c355bd80c7f6","false","___Status_Bar___Cellular_Icon_10.svg","device_chrome__status_bar_cellular_icon_10.svg"
"___Status_Bar___Cellular_Icon_11.svg","device_chrome","2496","6941dc1db0e27c46b27a65042bde66be8ebb485f233d8bb9fb635aef5cb4c8e0","false","___Status_Bar___Cellular_Icon_11.svg","device_chrome__status_bar_cellular_icon_11.svg"
